FlintVein_CardDescription,\n,\n
PartridgeChickDead_CardDescription, Could be used as trap bait., Could be used as trap bait.
MudWorkingTools_Obj3_CraftAMudBrickMold_ObjectiveDescription, Craft a Mud Brick Mold, Craft a Mud Brick Mold
MudWorkingTools_Sub3_CraftAMudBrickMold_QuestTitle, Craft a Mud Brick Mold, Craft a Mud Brick Mold
BodyTemperature_Statuses[7].GameName, Hypothermia, 低体温症 (7)
FirerootEffect_Statuses[2].GameName, Strong Firebrew Effect, Strong Firebrew Effect
LQ_SpiritBadger_LiquidSuffixName,(Badger),(Badger)
LQ_SpiritBoar_LiquidSuffixName,(Boar),(Boar)
LQ_SpiritDarkness_LiquidSuffixName,(Darkness),(Darkness)
LQ_SpiritDeer_LiquidSuffixName,(Deer),(Deer)
DRAG_TO_BUILD,(Drag here to build),(ここにドラッグして建てる)
LQ_SpiritEarth_LiquidSuffixName,(Earth),(Earth)
LQ_SpiritFear_LiquidSuffixName,(Fear),(Fear)
LQ_SpiritFire_LiquidSuffixName,(Fire),(Fire)
LQ_SpiritFlint_LiquidSuffixName,(Flint),(Flint)
LQ_SpiritFlintclaw_LiquidSuffixName,(Flintclaw),(Flintclaw)
LQ_SpiritFox_LiquidSuffixName,(Fox),(Fox)
LQ_SpiritWater_LiquidSuffixName,(Water),(Water)
LQ_SpiritWolf_LiquidSuffixName,(Wolf),(Wolf)
Bp_Kiln_UnlockConditionsDesc,+,+
Bp_Oven_UnlockConditionsDesc,+,+
Bp_Smokehouse__UnlockConditionsDesc,+,+
Pregnancy_Statuses[6].GameName,-,-
AlteredMindstate_Statuses[4].Description,...,...
Diarrhoea_Statuses[2].Description,...,...
Fever_Statuses[3].Description,...,...
ENCOUNTER_AND,... and {0},... and {0}
ENCOUNTER_BUT,... but {0},... but {0}
FORMAT_DAYS,0D,0D
FORMAT_HOURS,0h,0h
FORMAT_MINUTES,0min,0min
BASE_ROW_HELP,<b>Base Row</b>\n<size=80%>Items laying around in the current location. They stay if you travel.,<b>Base Row</b>\n<size=80%>Items laying around in the current location. They stay if you travel.
GardenPlot_CardHelpSection,<b>Basics: </b>Add water to hydrate it and fertilizer to enrich it. \n\n<b>Acidity: </b>Add dry leaves to increase acidity or ash to lower it.\n\n<b>Pests: </b>Garlic Water can help treat fungus and firewater can help with mites.,<b>Basics: </b>Add water to hydrate it and fertilizer to enrich it. \n\n<b>Acidity: </b>Add dry leaves to increase acidity or ash to lower it.\n\n<b>Pests: </b>Garlic Water can help treat fungus and firewater can help with mites.
BOOKMARK_HELP,<b>Bookmark</b> cards to find them faster and jump to different sections of your rows.,<b>Bookmark</b> cards to find them faster and jump to different sections of your rows.
DRAG_AND_HOLD,<b>Drag and hold</b> to move stacks.,<b>Drag and hold</b> to move stacks.
AppleWeedDried_CardHelpSection,"<b>Found:</b> Clearings.\n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Immune System Booster, Stimulant, Antiemetic, Appetite Enhancer.","<b>Found:</b> Clearings.\n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Immune System Booster, Stimulant, Antiemetic, Appetite Enhancer."
AppleWeedPowder_CardHelpSection,"<b>Found:</b> Clearings.\n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Immune System Booster, Stimulant, Antiemetic, Appetite Enhancer.","<b>Found:</b> Clearings.\n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Immune System Booster, Stimulant, Antiemetic, Appetite Enhancer."
AppleweedFresh_CardHelpSection,"<b>Found:</b> Clearings.\n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Immune System Booster, Stimulant, Antiemetic, Appetite Enhancer.","<b>Found:</b> Clearings.\n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Immune System Booster, Stimulant, Antiemetic, Appetite Enhancer."
AppleweedPlantedDormant_CardHelpSection,"<b>Found:</b> Clearings.\n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Immune System Booster, Stimulant, Antiemetic, Appetite Enhancer.","<b>Found:</b> Clearings.\n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Immune System Booster, Stimulant, Antiemetic, Appetite Enhancer."
AppleweedPlantedGrowing_CardHelpSection,"<b>Found:</b> Clearings.\n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Immune System Booster, Stimulant, Antiemetic, Appetite Enhancer.","<b>Found:</b> Clearings.\n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Immune System Booster, Stimulant, Antiemetic, Appetite Enhancer."
AppleweedPlantedMature_CardHelpSection,"<b>Found:</b> Clearings.\n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Immune System Booster, Stimulant, Antiemetic, Appetite Enhancer.","<b>Found:</b> Clearings.\n\n<b>Growth Needs:</b> Mid Acidity, Mid Hydration, Mid to High Nutrients.\n\n<b>Benefits:</b> Immune System Booster, Stimulant, Antiemetic, Appetite Enhancer."
